PC1	PC2	Group	Tag	Accession
-2.39088454525233	-3.86075845785351	germany	Moved	SRR1945575_bwa_alt_3_masked
-1.69466558361333	3.02485932019164	central_europe	Moved	SRR1945600_bwa_alt_3_pbj_6_rename
-4.34999227391683	-3.7638037894871	germany	Moved	SRR1945757_bwa_alt_3_masked
16.1232060028273	3.11854955912574	relict	Moved	SRR1945758_bwa_alt_3_pbj_6_rename
2.50074479000597	-5.53728663477926	admixed	Moved	SRR1945764_bwa_alt_3_pbj_6_rename
3.24980291574924	-4.23060592557719	spain	Moved	SRR1945773_bwa_alt_3_pbj_6_rename
0.380207948516703	3.447651937918	central_europe	Moved	SRR1945796_bwa_alt_3_pbj_6_rename
0.238812341610796	-4.56723956582036	germany	Moved	SRR1945808_bwa_alt_3_pbj_5_rename
-2.8832322260474	2.77578240060357	south_sweden	Moved	SRR1945811_bwa_alt_3_masked
-3.63047498018057	-3.85055888554206	germany	Moved	SRR1945818_bwa_alt_3_masked
-2.02326449452765	-3.77724427154343	western_europe	Moved	SRR1945826_bwa_alt_3_masked
2.59844768811809	-4.06475017746213	spain	Moved	SRR1945829_bwa_alt_3_pbj_6_rename
-2.8967859965585	2.6947405173599	admixed	Moved	SRR1945844_bwa_alt_3_masked
-2.69070338063495	-7.69868836169822	germany	Moved	SRR1945852_bwa_alt_3_masked
-5.28805866509687	4.44874172987029	central_europe	Moved	SRR1945858_bwa_alt_3_masked
-3.69798211629888	6.8497532171137	central_europe	Moved	SRR1945861_bwa_alt_3_masked
-2.9010348764068	3.37464152136164	admixed	Moved	SRR1945869_bwa_alt_3_masked
-3.63468513260521	-4.95164642133541	germany	Moved	SRR1945879_bwa_alt_3_masked
-4.78656729761266	3.02062959689974	central_europe	Moved	SRR1945881_bwa_alt_3_masked
-1.67718436362196	-4.72360575596393	germany	Moved	SRR1945883_bwa_alt_3_masked
-2.76944985676732	-1.62712400417998	admixed	Moved	SRR1945916_bwa_alt_3_masked
-2.99291949682763	-4.35134039473997	germany	Moved	SRR1945995_bwa_alt_3_masked
-2.03293416218351	13.4859876196572	asia	Moved	SRR1946002_bwa_alt_3_masked
4.16144871888286	-0.0257995150885385	italy_balkan_caucasus	Moved	SRR1946036_bwa_alt_3_pbj_5_rename
1.42132899000409	9.43114176204051	asia	Moved	SRR1946047_bwa_alt_3_pbj_5_rename
21.5155107395875	-1.64388392822533	admixed	Moved	SRR1946330_bwa_alt_3_pbj_6_rename
4.12576467714434	9.09890050506159	asia	Moved	SRR1946555_bwa_alt_3_pbj_6_rename
2.89770096313636	0.628302870891252	central_europe	Geo	SRR1945446_bwa_alt_3_masked
-85.9069611423392	3.72060618433256	germany	Geo	SRR1945460_bwa_alt_3_pbj_6_rename
1.73202437521031	-7.79923632998827	south_sweden	Geo	SRR1945476_bwa_alt_3_pbj_6_rename
-16.6865686362778	-9.03949854708709	germany	Geo	SRR1945575_bwa_alt_3_masked
3.76029240151861	-1.75509044546038	central_europe	Geo	SRR1945600_bwa_alt_3_pbj_6_rename
-105.134847443895	5.67790529903814	germany	Geo	SRR1945757_bwa_alt_3_masked
-37.2749984068907	31.1761732946283	relict	Geo	SRR1945758_bwa_alt_3_pbj_6_rename
-2.51029909101756	-4.09107612472578	admixed	Geo	SRR1945764_bwa_alt_3_pbj_6_rename
-10.2878054814087	5.59525563902381	spain	Geo	SRR1945773_bwa_alt_3_pbj_6_rename
1.89226298844044	-0.70646095804605	central_europe	Geo	SRR1945796_bwa_alt_3_pbj_6_rename
-6.3503856199994	-4.02039409071256	germany	Geo	SRR1945808_bwa_alt_3_pbj_5_rename
0.870550805674876	-4.90181121465019	south_sweden	Geo	SRR1945811_bwa_alt_3_masked
-2.98050953635051	-3.07259449646743	germany	Geo	SRR1945818_bwa_alt_3_masked
-11.2192884002044	-0.921671185092896	western_europe	Geo	SRR1945826_bwa_alt_3_masked
-21.2446965219793	6.60761063958665	spain	Geo	SRR1945829_bwa_alt_3_pbj_6_rename
12.7738649732656	-10.7098042998417	admixed	Geo	SRR1945844_bwa_alt_3_masked
-1.87963189592521	-6.03706214189917	germany	Geo	SRR1945852_bwa_alt_3_masked
2.46561998946916	-1.38746150824506	central_europe	Geo	SRR1945858_bwa_alt_3_masked
11.5523467310247	-6.98027873163974	central_europe	Geo	SRR1945861_bwa_alt_3_masked
-1.69447656743261	-0.511640609171482	admixed	Geo	SRR1945869_bwa_alt_3_masked
-3.97993759402256	-3.10641102405184	germany	Geo	SRR1945879_bwa_alt_3_masked
0.835690372819319	-3.50188939889722	central_europe	Geo	SRR1945881_bwa_alt_3_masked
-4.18958747721482	-5.78173078372123	germany	Geo	SRR1945883_bwa_alt_3_masked
123.213530858761	17.2764882533022	admixed	Geo	SRR1945916_bwa_alt_3_masked
-4.97936565169462	-3.14022755163626	germany	Geo	SRR1945995_bwa_alt_3_masked
44.0630379681478	-8.98512670204652	asia	Geo	SRR1946002_bwa_alt_3_masked
33.4883498310385	6.83672325056265	italy_balkan_caucasus	Geo	SRR1946036_bwa_alt_3_pbj_5_rename
31.9692771164912	8.47509053780874	asia	Geo	SRR1946047_bwa_alt_3_pbj_5_rename
22.789834450347	14.2087529859277	admixed	Geo	SRR1946330_bwa_alt_3_pbj_6_rename
22.0149756413079	-13.7534428117212	asia	Geo	SRR1946555_bwa_alt_3_pbj_6_rename
